state,municipality,district,subdistrict,id
ES,Vitória,Vitória,Região Administrativa III - Bento Ferreira/Jucutuquara,32053090508
ES,Vitória,Vitória,Região Administrativa IV - Maruípe,32053090509
ES,Vitória,Vitória,Região Administrativa V - Praia do Canto,32053090510
ES,Vitória,Vitória,Região Administrativa VII - São Pedro,32053090512
ES,Vitória,Goiabeiras,Região Administrativa VI - Continente,32053091011
RJ,Angra dos Reis,Angra dos Reis,,33001000500
RJ,Angra dos Reis,Abraão,,33001001000
RJ,Angra dos Reis,Cunhambebe,,33001001500
RJ,Angra dos Reis,Mambucaba,,33001002500
RJ,Aperibé,Aperibé,,33001590500
RJ,Araruama,Araruama,,33002090500
RJ,Araruama,Iguabinha,,33002090800
RJ,Araruama,Morro Grande,,33002091000
RJ,Araruama,Praia Seca,,33002091200
RJ,Araruama,São Vicente de Paula,,33002091500
RJ,Areal,Areal,,33002250500
RJ,Armação dos Búzios,Armação dos Búzios,,33002330500
RJ,Arraial do Cabo,Arraial do Cabo,,33002580500
RJ,Barra do Piraí,Barra do Piraí,,33003080500
RJ,Barra do Piraí,Califórnia da Barra,,33003080700
RJ,Barra do Piraí,Dorândia,,33003081000
RJ,Barra do Piraí,Ipiabas,,33003081500
RJ,Barra do Piraí,São José do Turvo,,33003082000
RJ,Barra do Piraí,Vargem Alegre,,33003082500
RJ,Barra Mansa,Barra Mansa,Região Administrativa I,33004070501
RJ,Barra Mansa,Barra Mansa,Região Administrativa II,33004070502
RJ,Barra Mansa,Barra Mansa,Região Administrativa III,33004070503
RJ,Barra Mansa,Barra Mansa,Região Administrativa IV,33004070504
RJ,Barra Mansa,Barra Mansa,Região Administrativa V,33004070505
RJ,Barra Mansa,Barra Mansa,Região Administrativa VI,33004070506
RJ,Barra Mansa,Barra Mansa,Região Administrativa VII,33004070507
RJ,Barra Mansa,Barra Mansa,Região Administrativa VIII,33004070508
RJ,Barra Mansa,Barra Mansa,Região Administrativa IX,33004070509
RJ,Barra Mansa,Barra Mansa,Região Administrativa X,33004070510
RJ,Barra Mansa,Barra Mansa,Região Administrativa XI,33004070511
RJ,Barra Mansa,Barra Mansa,Região Administrativa XII,33004070512
RJ,Barra Mansa,Barra Mansa,Região Administrativa XIII,33004070513
RJ,Barra Mansa,Barra Mansa,Região Administrativa XIV,33004070514
