UF,Município,Nome Município,Distrito,Nome Distrito,Subdistrito,Nome Subdistrito,Arquivo
BA,2910800,Feira de Santana,05,Feira de Santana,06,Mangabeira,29108000506
BA,2910800,Feira de Santana,05,Feira de Santana,07,Pampalona,29108000507
BA,2910800,Feira de Santana,05,Feira de Santana,08,Santana,29108000508
BA,2910800,Feira de Santana,05,Feira de Santana,09,Santo Antônio,29108000509
BA,2910800,Feira de Santana,05,Feira de Santana,11,Subae,29108000511
BA,2910800,Feira de Santana,10,Bonfim da Feira,00,,29108001000
BA,2910800,Feira de Santana,15,Humildes,00,,29108001500
BA,2910800,Feira de Santana,20,Governador Dr. João Durval Carneiro,00,,29108002000
BA,2910800,Feira de Santana,25,Jaguara,00,,29108002500
BA,2910800,Feira de Santana,30,Jaíba,00,,29108003000
BA,2910800,Feira de Santana,35,Maria Quitéria,00,,29108003500
BA,2910800,Feira de Santana,38,Matinha,00,,29108003800
BA,2910800,Feira de Santana,40,Tiquaruçu,00,,29108004000
BA,2910859,Filadélfia,05,Filadélfia,00,,29108590500
BA,2910909,Firmino Alves,05,Firmino Alves,00,,29109090500
BA,2910909,Firmino Alves,10,Itaiá,00,,29109091000
BA,2911006,Floresta Azul,05,Floresta Azul,00,,29110060500
BA,2911105,Formosa do Rio Preto,05,Formosa do Rio Preto,00,,29111050500
BA,2911204,Gandu,05,Gandu,00,,29112040500
BA,2911253,Gavião,05,Gavião,00,,29112530500
BA,2911303,Gentio do Ouro,05,Gentio do Ouro,00,,29113030500
BA,2911303,Gentio do Ouro,10,Gameleira do Assuruá,00,,29113031000
BA,2911303,Gentio do Ouro,15,Ibitunane,00,,29113031500
BA,2911303,Gentio do Ouro,20,Itajubaquara,00,,29113032000
BA,2911303,Gentio do Ouro,23,Pituba,00,,29113032300
BA,2911303,Gentio do Ouro,25,Santo Inácio,00,,29113032500
BA,2911402,Glória,05,Glória,00,,29114020500
BA,2911501,Gongogi,05,Gongogi,00,,29115010500
BA,2911501,Gongogi,10,Tapirama,00,,29115011000
BA,2911600,Governador Mangabeira,05,Governador Mangabeira,00,,29116000500
BA,2911659,Guajeru,05,Guajeru,00,,29116590500
BA,2911709,Guanambi,05,Guanambi,00,,29117090500
BA,2911709,Guanambi,10,Ceraíma,00,,29117091000
BA,2911709,Guanambi,12,Morrinhos,00,,29117091200
BA,2911709,Guanambi,15,Mutãs,00,,29117091500
BA,2911808,Guaratinga,05,Guaratinga,00,,29118080500
BA,2911808,Guaratinga,10,Buranhém,00,,29118081000
BA,2911857,Heliópolis,05,Heliópolis,00,,29118570500
BA,2911907,Iaçu,05,Iaçu,00,,29119070500
BA,2911907,Iaçu,10,João Amaro,00,,29119071000
BA,2911907,Iaçu,15,Lajedo Alto,00,,29119071500
BA,2912004,Ibiassucê,05,Ibiassucê,00,,29120040500
BA,2912103,Ibicaraí,05,Ibicaraí,00,,29121030500
BA,2912202,Ibicoara,05,Ibicoara,00,,29122020500
BA,2912202,Ibicoara,15,Cascavel,00,,29122021500
BA,2912301,Ibicuí,05,Ibicuí,00,,29123010500
BA,2912301,Ibicuí,10,Água Doce,00,,29123011000
BA,2912301,Ibicuí,15,Ibitupã,00,,29123011500
BA,2912400,Ibipeba,05,Ibipeba,00,,29124000500
BA,2912400,Ibipeba,10,Iguitu,00,,29124001000
BA,2912400,Ibipeba,15,Lagoa Grande,00,,29124001500
BA,2912400,Ibipeba,20,Mirorós,00,,29124002000
BA,2912509,Ibipitanga,05,Ibipitanga,00,,29125090500
BA,2912608,Ibiquera,05,Ibiquera,00,,29126080500
BA,2912707,Ibirapitanga,05,Ibirapitanga,00,,29127070500
BA,2912806,Ibirapuã,05,Ibirapuã,00,,29128060500
BA,2912905,Ibirataia,05,Ibirataia,00,,29129050500
BA,2912905,Ibirataia,10,Algodão,00,,29129051000
BA,2913002,Ibitiara,05,Ibitiara,00,,29130020500
BA,2913002,Ibitiara,08,Mocambo,00,,29130020800
BA,2913002,Ibitiara,10,Olhos d'Água do Seco,00,,29130021000
BA,2913101,Ibititá,05,Ibititá,00,,29131010500
BA,2913101,Ibititá,20,Canoão,00,,29131012000
BA,2913101,Ibititá,30,Feira Nova,00,,29131013000
BA,2913200,Ibotirama,05,Ibotirama,00,,29132000500
BA,2913200,Ibotirama,10,Boa Vista do Lagamar,00,,29132001000
BA,2913309,Ichu,05,Ichu,00,,29133090500
BA,2913408,Igaporã,05,Igaporã,00,,29134080500
BA,2913457,Igrapiúna,05,Igrapiúna,00,,29134570500
BA,2913507,Iguaí,05,Iguaí,00,,29135070500
BA,2913507,Iguaí,10,Iguaibi,00,,29135071000
BA,2913606,Ilhéus,05,Ilhéus,00,,29136060500
BA,2913606,Ilhéus,10,Aritaguá,00,,29136061000
BA,2913606,Ilhéus,15,Banco Central,00,,29136061500
BA,2913606,Ilhéus,25,Castelo Novo,00,,29136062500
BA,2913606,Ilhéus,30,Coutos,00,,29136063000
BA,2913606,Ilhéus,35,Inema,00,,29136063500
BA,2913606,Ilhéus,40,Japu,00,,29136064000
BA,2913606,Ilhéus,45,Olivença,00,,29136064500
BA,2913606,Ilhéus,50,Pimenteira,00,,29136065000
BA,2913606,Ilhéus,55,Rio do Braço,00,,29136065500
BA,2913705,Inhambupe,05,Inhambupe,00,,29137050500
BA,2913804,Ipecaetá,05,Ipecaetá,00,,29138040500
BA,2913804,Ipecaetá,10,Cavunge,00,,29138041000
BA,2913903,Ipiaú,05,Ipiaú,00,,29139030500
BA,2914000,Ipirá,05,Ipirá,00,,29140000500
BA,2914000,Ipirá,15,Bonfim de Ipirá,00,,29140001500
BA,2914000,Ipirá,25,Malhador,00,,29140002500
BA,2914109,Ipupiara,05,Ipupiara,00,,29141090500
BA,2914109,Ipupiara,10,Ibipetum,00,,29141091000
BA,2914208,Irajuba,05,Irajuba,00,,29142080500
BA,2914307,Iramaia,05,Iramaia,00,,29143070500
BA,2914307,Iramaia,10,Novo acre,00,,29143071000
BA,2914406,Iraquara,05,Iraquara,00,,29144060500
BA,2914406,Iraquara,10,Iraporanga,00,,29144061000
BA,2914505,Irará,05,Irará,00,,29145050500
BA,2914505,Irará,10,Bento Simões,00,,29145051000
BA,2914604,Irecê,05,Irecê,00,,29146040500
BA,2914604,Irecê,25,Angical,00,,29146042500
BA,2914604,Irecê,30,Conquista,00,,29146043000
BA,2914604,Irecê,35,Itapicuru,00,,29146043500
BA,2914653,Itabela,05,Itabela,00,,29146530500
BA,2914703,Itaberaba,05,Itaberaba,00,,29147030500
BA,2914802,Itabuna,05,Itabuna,00,,29148020500
BA,2914901,Itacaré,05,Itacaré,00,,29149010500
BA,2914901,Itacaré,10,Taboquinhas,00,,29149011000
BA,2915007,Itaeté,05,Itaeté,00,,29150070500
BA,2915106,Itagi,05,Itagi,00,,29151060500
BA,2915205,Itagibá,05,Itagibá,00,,29152050500
BA,2915205,Itagibá,10,Japomirim,00,,29152051000
BA,2915304,Itagimirim,05,Itagimirim,00,,29153040500
BA,2915353,Itaguaçu da Bahia,05,Itaguaçu da Bahia,00,,29153530500
BA,2915403,Itaju do Colônia,05,Itaju do Colônia,00,,29154030500
BA,2915403,Itaju do Colônia,20,Palmira,00,,29154032000
BA,2915502,Itajuípe,05,Itajuípe,00,,29155020500
BA,2915502,Itajuípe,10,Bandeira do Almada,00,,29155021000
BA,2915601,Itamaraju,05,Itamaraju,00,,29156010500
BA,2915700,Itamari,05,Itamari,00,,29157000500
BA,2915809,Itambé,05,Itambé,00,,29158090500
BA,2915809,Itambé,10,Catolezinho,00,,29158091000
BA,2915809,Itambé,15,São José do Colônia,00,,29158091500
BA,2915908,Itanagra,05,Itanagra,00,,29159080500
BA,2916005,Itanhém,05,Itanhém,00,,29160050500
BA,2916005,Itanhém,10,Batinga,00,,29160051000
BA,2916005,Itanhém,15,Ibirajá,00,,29160051500
BA,2916104,Itaparica,05,Itaparica,00,,29161040500
BA,2916203,Itapé,05,Itapé,00,,29162030500
BA,2916302,Itapebi,05,Itapebi,00,,29163020500
BA,2916302,Itapebi,10,Caiubi,00,,29163021000
BA,2916401,Itapetinga,05,Itapetinga,00,,29164010500
BA,2916401,Itapetinga,10,Bandeira do Colônia,00,,29164011000
BA,2916500,Itapicuru,05,Itapicuru,00,,29165000500
BA,2916500,Itapicuru,10,Sambaíba,00,,29165001000
BA,2916609,Itapitanga,05,Itapitanga,00,,29166090500
BA,2916708,Itaquara,05,Itaquara,00,,29167080500
BA,2916807,Itarantim,05,Itarantim,00,,29168070500
BA,2916807,Itarantim,10,Ribeirão do Salto,00,,29168071000
